work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level/Expert,Full-Time,Data Scientist,85847,ES,100,ES,L
2023,Mid-level/Intermediate,Contract,ML Engineer,30000,US,100,US,S
2023,Mid-level/Intermediate,Contract,ML Engineer,25500,US,100,US,S
2023,Senior-level/Expert,Full-Time,Data Scientist,175000,CA,100,CA,M
2023,Senior-level/Expert,Full-Time,Data Scientist,120000,CA,100,CA,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,222200,US,0,US,L
2023,Senior-level/Expert,Full-Time,Applied Scientist,136000,US,0,US,L
2023,Senior-level/Expert,Full-Time,Data Scientist,219000,CA,0,CA,M
2023,Senior-level/Expert,Full-Time,Data Scientist,141000,CA,0,CA,M
2023,Senior-level/Expert,Full-Time,Data Scientist,147100,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,90700,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Analyst,130000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Analyst,100000,US,100,US,M
2023,Entry-level/Junior,Full-Time,Applied Scientist,213660,US,0,US,L
2023,Entry-level/Junior,Full-Time,Applied Scientist,130760,US,0,US,L
2023,Senior-level/Expert,Full-Time,Data Analyst,147100,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Analyst,90700,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,170000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,150000,US,0,US,M
2023,Mid-level/Intermediate,Full-Time,Data Analyst,150000,US,100,US,M
2023,Mid-level/Intermediate,Full-Time,Data Analyst,110000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,275000,DE,0,DE,M
2023,Senior-level/Expert,Full-Time,Research Engineer,174000,DE,0,DE,M
2023,Senior-level/Expert,Full-Time,Analytics Engineer,230000,GB,100,GB,M
2023,Senior-level/Expert,Full-Time,Analytics Engineer,143200,GB,100,GB,M
2023,Senior-level/Expert,Full-Time,Research Engineer,225000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,156400,US,0,US,M
2023,Senior-level/Expert,Full-Time,Machine Learning Engineer,200000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Machine Learning Engineer,130000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,90000,CA,0,CA,M
2023,Senior-level/Expert,Full-Time,Research Engineer,72000,CA,0,CA,M
2023,Senior-level/Expert,Full-Time,Data Engineer,253200,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,90700,US,0,US,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,342810,US,0,US,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,184590,US,0,US,M
2023,Mid-level/Intermediate,Full-Time,Data Engineer,162500,US,0,US,M
2023,Mid-level/Intermediate,Full-Time,Data Engineer,130000,US,0,US,M
2023,Mid-level/Intermediate,Full-Time,Data Analyst,105380,US,0,US,M
2023,Mid-level/Intermediate,Full-Time,Data Analyst,64500,US,0,US,M
2023,Entry-level/Junior,Full-Time,Data Analyst,100000,NG,100,NG,L
2023,Entry-level/Junior,Full-Time,Data Scientist,30000,NG,100,NG,L
2022,Mid-level/Intermediate,Full-Time,Machine Learning Engineer,20984,IN,50,IN,L
2023,Entry-level/Junior,Full-Time,Applied Scientist,204620,US,0,US,L
2023,Entry-level/Junior,Full-Time,Applied Scientist,110680,US,0,US,L
2023,Senior-level/Expert,Full-Time,Data Engineer,270703,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,221484,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,212750,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,185000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,262000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,245000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,275300,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,183500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,218500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,199098,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,203300,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,123600,US,100,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,189110,US,0,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,139000,US,0,US,M
2023,Executive-level/Director,Full-Time,Data Scientist,258750,US,0,US,M
2023,Executive-level/Director,Full-Time,Data Scientist,185000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,231500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,166000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,172500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,110500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,238000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,176000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,237000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,201450,US,100,US,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,309400,US,0,US,L
2023,Senior-level/Expert,Full-Time,Applied Scientist,159100,US,0,US,L
2023,Senior-level/Expert,Full-Time,Data Engineer,115000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,81500,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,237000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,201450,US,100,US,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,280000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Applied Scientist,210000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Architect,280100,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Architect,168100,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,193500,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,139000,US,100,US,M
2023,Mid-level/Intermediate,Full-Time,Data Scientist,65062,HK,0,HK,L
2023,Senior-level/Expert,Full-Time,Machine Learning Engineer,150000,PT,100,US,M
2023,Mid-level/Intermediate,Full-Time,Machine Learning Engineer,69751,IN,100,DE,S
2022,Entry-level/Junior,Full-Time,Applied Scientist,300000,IN,50,IN,L
2023,Mid-level/Intermediate,Full-Time,Machine Learning Engineer,96578,NL,100,NL,L
2023,Senior-level/Expert,Full-Time,Research Engineer,185900,US,0,US,M
2023,Senior-level/Expert,Full-Time,Research Engineer,129300,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,225000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,175000,US,100,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,185000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Engineer,140000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,48289,ES,0,ES,M
2023,Senior-level/Expert,Full-Time,Data Scientist,38631,ES,0,ES,M
2023,Senior-level/Expert,Full-Time,Data Scientist,105000,US,0,US,M
2023,Senior-level/Expert,Full-Time,Data Scientist,70000,US,0,US,M
2023,Entry-level/Junior,Full-Time,Machine Learning Engineer,163196,US,0,US,M
2023,Entry-level/Junior,Full-Time,Machine Learning Engineer,145885,US,0,US,M
