employee_residence,company_location,salary_in_usd
ESP,ESP,85847
USA,USA,30000
USA,USA,25500
CAN,CAN,175000
CAN,CAN,120000
USA,USA,222200
USA,USA,136000
CAN,CAN,219000
CAN,CAN,141000
USA,USA,147100
USA,USA,90700
USA,USA,130000
USA,USA,100000
USA,USA,213660
USA,USA,130760
USA,USA,147100
USA,USA,90700
USA,USA,170000
USA,USA,150000
USA,USA,150000
USA,USA,110000
DEU,DEU,275000
DEU,DEU,174000
GBR,GBR,230000
GBR,GBR,143200
USA,USA,225000
USA,USA,156400
USA,USA,200000
USA,USA,130000
CAN,CAN,90000
CAN,CAN,72000
USA,USA,253200
USA,USA,90700
USA,USA,342810
USA,USA,184590
USA,USA,162500
USA,USA,130000
USA,USA,105380
USA,USA,64500
NGA,NGA,100000
NGA,NGA,30000
IND,IND,20984
USA,USA,204620
USA,USA,110680
USA,USA,270703
USA,USA,221484
USA,USA,212750
USA,USA,185000
USA,USA,262000
USA,USA,245000
USA,USA,275300
USA,USA,183500
USA,USA,218500
USA,USA,199098
USA,USA,203300
USA,USA,123600
USA,USA,189110
USA,USA,139000
USA,USA,258750
USA,USA,185000
USA,USA,231500
USA,USA,166000
USA,USA,172500
USA,USA,110500
USA,USA,238000
USA,USA,176000
USA,USA,237000
USA,USA,201450
USA,USA,309400
USA,USA,159100
USA,USA,115000
USA,USA,81500
USA,USA,237000
USA,USA,201450
USA,USA,280000
USA,USA,210000
USA,USA,280100
USA,USA,168100
USA,USA,193500
USA,USA,139000
HKG,HKG,65062
PRT,PRT,150000
IND,IND,69751
IND,IND,300000
NLD,NLD,96578
USA,USA,185900
USA,USA,129300
USA,USA,225000
USA,USA,175000
USA,USA,185000
USA,USA,140000
ESP,ESP,48289
ESP,ESP,38631
USA,USA,105000
USA,USA,70000
USA,USA,163196
USA,USA,145885
USA,USA,217000
USA,USA,185000
USA,USA,202800
USA,USA,104300
USA,USA,145000
USA,USA,65000
USA,USA,165000
USA,USA,132300
USA,USA,179170
USA,USA,94300
USA,USA,152500
USA,USA,116450
USA,USA,247300
USA,USA,133800
USA,USA,203000
USA,USA,133000
USA,USA,220000
CHE,CHE,56536
USA,USA,150000
USA,USA,120000
USA,USA,289800
USA,USA,214000
USA,USA,179820
USA,USA,143860
USA,USA,283200
USA,USA,188800
USA,USA,289800
USA,USA,214200
USA,USA,185900
USA,USA,129300
USA,USA,252000
USA,USA,129000
USA,USA,155000
USA,USA,140000
USA,USA,161800
USA,USA,141600
USA,USA,342300
USA,USA,176100
USA,USA,100000
USA,USA,70000
USA,USA,85000
USA,USA,65000
USA,USA,138784
USA,USA,83270
USA,USA,75000
USA,USA,70000
USA,USA,204500
USA,USA,138900
USA,USA,318300
USA,USA,212200
USA,USA,95000
USA,USA,75000
USA,USA,195000
USA,USA,160000
USA,USA,230000
USA,USA,143200
USA,USA,100000
USA,USA,70000
USA,USA,105000
IND,IND,20670
GBR,GBR,46178
GBR,GBR,42533
USA,USA,145000
USA,USA,115000
USA,USA,168400
USA,USA,105200
USA,USA,309400
USA,USA,159100
USA,USA,190000
USA,USA,150000
USA,USA,162500
USA,USA,130000
USA,USA,150000
USA,USA,120000
USA,USA,145000
USA,USA,120000
USA,USA,222200
USA,USA,136000
CAF,CAF,54685
CAF,CAF,42533
USA,USA,241000
USA,USA,155000
USA,USA,220000
USA,USA,190000
GBR,GBR,66837
GBR,GBR,54685
NGA,NGA,15000
GBR,GBR,85066
GBR,GBR,57723
USA,USA,85000
USA,USA,75000
USA,USA,160000
USA,USA,140000
USA,USA,300000
USA,USA,250000
USA,USA,228000
USA,USA,186000
USA,USA,190000
USA,USA,170000
USA,USA,230000
USA,USA,200000
USA,USA,180000
USA,USA,115000
USA,USA,200000
USA,USA,115000
FRA,FRA,53654
USA,USA,220000
USA,USA,205000
USA,USA,180000
USA,USA,130000
USA,USA,200000
USA,USA,150000
USA,USA,215000
USA,USA,170000
USA,USA,247500
USA,USA,172200
CAN,CAN,224000
CAN,CAN,176000
USA,USA,120000
USA,USA,75000
IND,IND,17022
AUS,AUS,68318
FIN,FIN,75020
USA,USA,140000
USA,USA,120000
USA,USA,128000
USA,USA,81500
USA,USA,145000
USA,USA,115000
USA,USA,185000
USA,USA,140000
USA,USA,329500
USA,USA,269600
USA,USA,100000
USA,USA,80000
USA,USA,250000
USA,USA,162500
USA,USA,200000
USA,USA,145000
USA,USA,100000
USA,USA,145000
USA,USA,115000
USA,USA,203500
USA,USA,152000
USA,USA,239000
USA,USA,122900
USA,USA,237000
USA,USA,145000
USA,USA,191765
USA,USA,134236
USA,USA,190000
USA,USA,112000
ESP,ESP,88256
USA,USA,85000
USA,USA,65000
USA,USA,135000
USA,USA,105500
USA,USA,293000
USA,USA,185000
USA,USA,80000
USA,USA,70000
USA,USA,220000
USA,USA,160000
USA,USA,175000
USA,USA,145000
USA,USA,200000
USA,USA,148500
ESP,ESP,48289
ESP,ESP,38631
USA,USA,240500
USA,USA,123700
USA,USA,152900
USA,USA,117100
USA,USA,173000
USA,USA,113000
USA,USA,260000
USA,USA,136000
USA,USA,175000
USA,USA,110000
USA,USA,260000
USA,USA,136000
USA,USA,130000
USA,USA,110000
USA,USA,205000
USA,USA,184000
USA,USA,149500
USA,USA,127075
USA,USA,195000
USA,USA,160000
USA,USA,219535
USA,USA,146115
USA,USA,170000
USA,USA,135000
USA,USA,175000
USA,USA,145000
USA,USA,199000
USA,USA,162000
USA,USA,222200
USA,USA,136000
USA,USA,221000
USA,USA,153000
USA,USA,187000
USA,USA,128000
USA,USA,210000
USA,USA,136000
USA,USA,175000
USA,USA,100000
USA,USA,179000
USA,USA,109000
USA,USA,245000
USA,USA,180000
USA,USA,142000
USA,USA,75000
USA,USA,198800
USA,USA,105200
USA,USA,125000
USA,USA,112000
USA,USA,210000
USA,USA,155000
USA,USA,115000
USA,USA,86000
USA,USA,165000
USA,USA,140000
USA,USA,139000
USA,USA,106000
CAN,CAN,40663
CAN,CAN,275000
UKR,UKR,50000
USA,USA,280700
USA,USA,150450
CAN,CAN,51753
USA,USA,250500
USA,USA,159500
USA,USA,145000
USA,USA,115000
USA,USA,140000
USA,USA,120000
USA,USA,130001
USA,USA,71907
USA,USA,93918
USA,USA,51962
CAN,CAN,175000
CAN,CAN,135000
USA,USA,85000
USA,USA,65000
USA,USA,257000
USA,USA,147000
USA,USA,222000
USA,USA,175000
USA,USA,203000
USA,USA,133200
USA,USA,213660
USA,USA,130760
